filling date,university,Batch Year,Faculty,Subject,Know Industry 4.0,Readiness,ITB Contribution,"Jika Anda merasa bahwa ITB tidak mempersiapkan Anda untuk Industri 4.0, bagaimana seharusnya ITB mempersiapkan Anda dalam menghadapi Industri 4.0? (Tuliskan pendapat Anda pribadi)",Because Skill coding,Because Big Data Skills,Because Machine Learning Skills,Because Creativity,Because People Management,Because Critical Thinking,Not Ready,Should Skill coding,Should Big Data Skills,Should Machine Learning Skills,Should Creativity,Should People Management,Should Critical Thinking,Should Doesn't Provide
2019-04-25 10:38:18,Ya,2017,STEI,Teknik Biomedis ,No,2,3,,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-04-25 10:43:11,Ya,2017,SF,STF,Yes,3,2,Sudah sedikit berusaha. Mungkin lebih baik jika semua prodi diwajibkan belajar coding,0,0,0,1,0,1,0,0,0,0,1,0,1,0
2019-04-25 10:44:32,Ya,2017,FMIPA,Teknik fisika,Yes,2,3,,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-04-25 10:45:23,Ya,2017,FMIPA,Biologi,Yes,3,4,,0,1,1,1,1,1,0,0,1,1,1,1,1,0
2019-04-25 10:46:12,Ya,2017,FTI,Fisika Teknik,Yes,2,4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-04-25 10:47:01,Ya,2017,FTMD,Teknik Dirgantara,Yes,2,4,,1,1,1,0,0,0,0,1,1,1,0,0,0,0
2019-04-25 10:49:35,Ya,2017,SITHS,Biologi,No,3,4,,0,0,0,1,1,1,0,0,0,0,1,1,1,0
2019-04-25 10:55:50,Ya,2017,FTTM,Teknik Perminyakan,Yes,3,3,,0,1,0,0,1,1,0,0,1,0,0,1,1,0
2019-04-25 10:55:56,Ya,2017,STEI,Teknik Elektro,Yes,3,3,,1,0,1,1,0,1,0,1,0,1,1,0,1,0
2019-04-25 10:56:19,Ya,2017,FTSL,Teknik Sipil,Yes,3,2,,1,0,1,1,1,1,0,1,0,1,1,1,1,0
2019-04-25 10:57:22,Ya,2017,FTSL,Teknik Sipil,Yes,3,2,banyakin wadah buat masis berkarya dgn mudah,0,0,0,0,1,1,0,0,0,0,0,1,1,0
2019-04-25 10:58:15,Ya,2017,FTI,Teknik Industri,Yes,3,4,,0,1,0,0,1,1,0,0,1,0,0,1,1,0
2019-04-25 10:59:26,Ya,2017,FTTM,Teknik Geofisika,Yes,4,3,,0,1,1,0,0,1,0,0,1,1,0,0,1,0
2019-04-25 11:00:19,Ya,2017,STEI,Teknik Informatika,Yes,3,3,,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-04-25 11:05:01,Ya,2017,FSRD,Desain Komunikasi Visual,Yes,3,3,Sudah disiapkan,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2019-04-25 11:07:40,Ya,2017,FTI,Teknik Kimia,Yes,3,3,Seharusnya lebih banyak diberikan studi kasus yg berkaitan dengan industri 4.0 sehingga ilmunya aplikatif,0,0,1,0,1,1,0,0,0,1,0,1,1,0
2019-04-25 11:08:29,Ya,2017,FTI,Teknik Kimia,Yes,3,3,Seharusnya lebih banyak diberikan studi kasus yg berkaitan dengan industri 4.0 sehingga ilmunya aplikatif,0,0,1,0,1,1,0,0,0,1,0,1,1,0
2019-04-25 11:12:15,Ya,2017,STEI,Teknik Informatika,Yes,3,4,,1,1,1,1,0,0,0,1,1,1,1,0,0,0
2019-04-25 11:14:23,Ya,2017,FTSL,Teknik Sipil,No,3,2,Seminar dan mata kuliah harus relevan ke industri 4.0,0,0,0,1,1,1,0,0,0,0,1,1,1,0
2019-04-25 11:18:18,Ya,2015,SAPPK,Perencanaan Wilayah dan Kota,Yes,4,3,,0,1,0,1,1,1,0,0,1,0,1,1,1,0
2019-04-25 11:19:23,Ya,2016,STEI,Teknik Elektro,Yes,3,2,Kurikulum yang merujuk ke perkembangan teknologi dan kondisi aktual.,0,0,0,1,1,1,0,0,0,0,1,1,1,0
2019-04-25 11:19:33,Ya,2017,FMIPA,Kimia,Yes,3,3,,0,0,1,1,0,1,0,0,0,1,1,0,1,0
2019-04-25 11:26:14,Ya,2016,FTMD,Teknik Mesin,Yes,3,2,-,0,0,1,1,0,1,0,0,0,1,1,0,1,0
2019-04-25 11:30:06,Ya,2017,FTSL,Teknik Sipil,Yes,3,2,,0,0,0,0,1,1,0,0,0,0,0,1,1,0
2019-04-25 11:31:00,Ya,2017,FTMD,Teknik Dirgantara,Yes,3,4,,0,0,0,1,1,1,0,0,0,0,1,1,1,0
2019-04-25 11:31:59,Ya,2017,SBM,Manajemen,Yes,3,3,,0,1,0,1,1,1,0,0,1,0,1,1,1,0
2019-04-25 11:35:31,Ya,2016,FTI,Teknik Kimia,Yes,2,3,,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2019-04-25 11:37:14,Ya,2017,SITHS,Mikrobiologi,Yes,4,1,Pake metode yg modern hukan tulis tangan,0,1,0,1,1,1,0,0,1,0,1,1,1,0
2019-04-25 11:41:54,Ya,2017,FMIPA,Kimia,Yes,2,2,"Digitalisasi pembelajaran, memperbanyak simulasi dengan perangkat (kali"" cba spektroskopi NMR dong..)",0,0,0,1,0,1,0,0,0,0,1,0,1,0
2019-04-25 11:44:02,Ya,2017,SITHS,Mikrobiologi,Yes,3,3,,0,0,0,1,0,1,0,0,0,0,1,0,1,0
2019-04-25 11:51:15,Ya,2016,STEI,Teknik Informatika,Yes,4,3,,1,0,1,1,1,1,0,1,0,1,1,1,1,0
2019-04-25 11:59:41,Ya,2017,STEI,Teknik Elektro,Yes,3,3,-,0,0,0,1,0,1,0,0,0,0,1,0,1,0
2019-04-25 12:01:06,Ya,2017,STEI,Teknik Elektro,Yes,3,4,-,1,0,0,1,0,1,0,1,0,0,1,0,1,0
2019-04-25 12:01:43,Ya,2015,FTSL,Teknik Sipil,No,2,2,ITB memberikan pelatihan secara massal dari setiap program studi untuk ICT sebab banyak mahasiswa berpikir bahwa jika tidak berada di jurusan Informatika maka tidak perlu mempelajari teknologi komputer terlalu advanced ,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-04-25 12:02:33,Ya,2017,STEI,Teknik Elektro,Yes,4,3,,1,0,0,1,1,1,0,1,0,0,1,1,1,0
2019-04-25 12:09:45,Ya,2017,STEI,Teknik Informatika,Yes,3,1,,1,0,0,1,0,1,0,1,0,0,1,0,1,0
2019-04-25 12:12:29,Ya,2017,FTI,Teknik Industri,Yes,3,4,,0,0,1,0,1,1,0,0,0,1,0,1,1,0
2019-04-25 12:19:50,Ya,2017,FTSL,Teknik Sipil,Yes,3,2,Dari proker KM,0,0,0,0,1,1,0,0,0,0,0,1,1,0
2019-04-25 12:21:43,Ya,2017,FTMD,Teknik Material,Yes,3,3,,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2019-04-25 12:37:06,Ya,2017,FTSL,Rekayasa Infrastruktur Lingkungan,No,1,2,"More classes about skill coding, manajemen manusia dan big data analysis, tapi ga berkontribusi ke IP biar ga nambah stress",0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-04-25 12:37:46,Ya,2017,FTI,Teknik Pangan,Yes,3,2,,0,1,0,0,1,1,0,0,1,0,0,1,1,0
2019-04-25 12:41:19,Ya,2016,STEI,Teknik Tenaga Listrik,Yes,3,3,Mengurangi laprak yang tulis tangan agar pemakaian kertas dapat dikurangi,0,0,0,1,1,1,0,0,0,0,1,1,1,0
2019-04-25 13:01:09,Ya,2017,SBM,Manajemen,Yes,4,2,,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019-04-25 13:19:21,Ya,2016,STEI,Teknik Elektro,Yes,3,3,,1,0,0,0,0,1,0,1,0,0,0,0,1,0
2019-04-25 13:45:20,Ya,2016,STEI,Teknik Elektro,Yes,2,3,,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2019-04-25 14:26:03,Ya,2017,FTSL,Rekayasa Infrastruktur Lingkungan,No,4,3,Saya bingung dengan hidup saya sekarang,0,0,0,0,1,1,0,0,0,0,0,1,1,0
2019-04-25 15:33:50,Ya,2017,STEI,Teknik Informatika,Yes,3,4,Workshop broh,1,0,0,1,0,1,0,1,0,0,1,0,1,0
2019-04-25 16:20:06,Ya,2017,FMIPA,Matematika,Yes,2,2,,1,1,0,1,0,0,0,1,1,0,1,0,0,0
2019-04-25 16:27:17,Ya,2017,FMIPA,Fisika,Yes,3,3,disiapkan,1,1,0,1,1,1,0,1,1,0,1,1,1,0
2019-04-25 16:38:01,Ya,2017,SBM,Manajemen,Yes,3,3,,0,0,0,1,1,1,0,0,0,0,1,1,1,0
2019-04-25 16:45:35,Ya,2018,SITH-R,TPB,Yes,3,4,Mempelajari dasar teori dari industri 4.0 ,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2019-04-25 16:45:48,Ya,2017,FTI,Teknik Fisika,Yes,4,4,,1,0,1,1,1,1,0,1,0,1,1,1,1,0
2019-04-25 16:47:02,Ya,2018,SAPPK,TPB,No,4,4,-,1,1,0,1,1,1,0,1,1,0,1,1,1,0
2019-04-25 16:50:09,Ya,2017,FMIPA,Kimia,Yes,3,2,Membuka workshop tentang skill apapun di industri 4.0,1,0,0,1,1,1,0,1,0,0,1,1,1,0
2019-04-25 16:55:07,Ya,2017,FTI,Teknik Industri,Yes,3,3,,0,0,0,1,1,1,0,0,0,0,1,1,1,0
2019-04-25 17:00:52,Ya,2018,STEI,TPB,No,2,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-04-25 17:19:05,Ya,2017,FMIPA,Fisika,Yes,4,3,,0,0,0,1,1,1,0,0,0,0,1,1,1,0
2019-04-25 17:27:00,Ya,2017,FTI,Teknik Kimia,Yes,3,4,,0,0,0,1,1,1,0,0,0,0,1,1,1,0
2019-04-25 17:35:17,Ya,2018,FTI,TPB,Yes,2,3,,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2019-04-25 18:48:36,Ya,2017,STEI,Teknik Informatika,Yes,3,3,,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2019-04-25 19:00:11,Ya,2017,SAPPK,Perencanaan Wilayah dan Kota,Yes,3,3,Lebih sering praktik,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2019-04-25 20:07:32,Ya,2017,FMIPA,Astronomi,Yes,3,4,,1,1,1,0,0,0,0,1,1,1,0,0,0,0
2019-04-25 21:01:30,Ya,2018,STEI,TPB,Yes,3,2,,0,0,0,1,0,1,0,0,0,0,1,0,1,0
2019-04-25 21:45:10,Ya,2018,STEI,TPB,Yes,2,3,,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-04-25 22:26:47,Ya,2017,STEI,Teknik Informatika,Yes,2,4,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0
